building,room,directions,Where from
wilberforce ,lecture room 3,"asd;asd",
wilberforce ,lecture room 4,,
wilberforce ,lecture room 5,,
wilberforce ,lecture room 6,,
wilberforce ,lecture room 7,,
wilberforce ,lecture room 8,,
wilberforce ,lecture room 9,,
wilberforce ,lecture room 10,,
wilberforce ,lecture room 11,,
wilberforce ,lecture room 12,,
wilberforce ,lecture room 13,,
wilberforce ,lecture room 14,,
wilberforce ,lecture room 15,,
wilberforce ,lecture room 16,,
wilberforce ,lecture room 17,,
wilberforce ,lecture room 18,,
wilberforce ,lecture room 19,,
wilberforce ,lecture room 20,,
wilberforce ,lecture room 21,,
wilberforce ,lecture room 22,,
wilberforce ,lecture room 23,,
wilberforce ,lecture room 24,,
wilberforce ,lecture room 25,,
wilberforce ,lecture room 26,,
wilberforce ,lecture room 27,,
wilberforce ,lecture room 28,,
wilberforce ,lecture room 29,,
wilberforce ,lecture room 30,,
wilberforce ,lecture theater 15,,
wilberforce ,lecture theater 12,,
wilberforce ,lecture theater 31,,
wilberforce ,lecture theater 29,,
wilberforce ,FACE hub ,"TL180; go straight; destination in front",looking straight from top of stairs
wilberforce ,104 computer rooom,"TL180; go straight; destination on right",looking straight from top of stairs
wilberforce ,101 south east asian museum,"go straight; take first door on left; destination on left",looking straight from top of stairs
wilberforce ,103 cafe,"go straight (past one door on the left); destination on left",looking straight from top of stairs
wilberforce ,lecture theater 1,"go straight; destination on right",looking straight from top of stairs
wilberforce ,lecture theater 2,"go straight (past one door on the right); through 1st and 2nd door; destination on right",looking straight from top of stairs
wilberforce ,lecture room 32,"go straight (past 2 doors on the left); take  first left; destination on left",looking straight from top of stairs
wilberforce ,lecture room 33,"go straight (past 2 doors on the left); take first left; destination on right",looking straight from top of stairs
wilberforce ,lecture room 34,"go straight (past 3 doors on the left); through 1st and 2nd door; destination on left",looking straight from top of stairs
wilberforce ,DIS FACE hub ,,
wilberforce ,DIS 104 computer rooom,,
wilberforce ,DIS 101 south east asian museum,,
wilberforce ,DIS 103 cafe,,
wilberforce ,DIS lecture theater 1,,
wilberforce ,DIS lecture theater 2,,
wilberforce ,DIS lecture room 32,,
wilberforce ,DIS lecture room 33,,
wilberforce ,DIS lecture room 34,,
